graph	algo	n	m	gn	gm	rn	rm	offset	time	seed	mem
dac2012_superblue14.hgr.random100	graphred15	630802	619815	630802	74163031	121519	4311352	150868	659.66562	21	1369508
dac2012_superblue14.hgr.random100	graphred15	630802	619815	630802	74163031	121519	4311352	150868	662.83551	1	1368904
dac2012_superblue14.hgr.random100	graphred15	630802	619815	630802	74163031	121519	4311352	150868	661.86683	203	1369512
dac2012_superblue14.hgr.random100	graphred15	630802	619815	630802	74163031	121519	4311352	150868	664.29774	1002	1369508
dac2012_superblue3.hgr.random100	graphred15	917944	898001	917944	86779664	164466	13693071	172905	482.09460	21	1694848
dac2012_superblue3.hgr.random100	graphred15	917944	898001	917944	86779664	164466	13693071	172905	490.58863	1	1694852
dac2012_superblue3.hgr.random100	graphred15	917944	898001	917944	86779664	164466	13693071	172905	486.91376	203	1694852
dac2012_superblue3.hgr.random100	graphred15	917944	898001	917944	86779664	164466	13693071	172905	487.11617	1002	1694848
dac2012_superblue12.hgr.random100	graphred15	1291931	1293436	1291931	247547156	331115	3961677	205667	869.16990	1	4196172
dictionary28.mtx.hgr.random100	graphred15	52652	39327	52652	481799	2642	15331	28709	0.18927	1	22528
dac2012_superblue12.hgr.random100	graphred15	1291931	1293436	1291931	247547156	331115	3961677	205667	870.33998	21	4196172
dictionary28.mtx.hgr.random100	graphred15	52652	39327	52652	481799	2642	15331	28709	0.18211	21	22528
dictionary28.mtx.hgr.random100	graphred15	52652	39327	52652	481799	2642	15331	28709	0.18021	203	22528
dictionary28.mtx.hgr.random100	graphred15	52652	39327	52652	481799	2642	15331	28709	0.17954	1002	22528
dac2012_superblue12.hgr.random100	graphred15	1291931	1293436	1291931	247547156	331115	3961677	205667	872.18190	203	4196172
ex19.mtx.hgr.random100	graphred15	12005	12005	12005	484689	0	0	985	0.04790	1	16384
ex19.mtx.hgr.random100	graphred15	12005	12005	12005	484689	0	0	985	0.04386	21	16384
ex19.mtx.hgr.random100	graphred15	12005	12005	12005	484689	0	0	985	0.04450	203	16384
dac2012_superblue12.hgr.random100	graphred15	1291931	1293436	1291931	247547156	331115	3961677	205667	873.96503	1002	4196172
ex19.mtx.hgr.random100	graphred15	12005	12005	12005	484689	0	0	985	0.04548	1002	16384
fd18.mtx.hgr.random100	graphred15	16428	16428	16428	99387	13360	80898	1024	0.02253	1	11264
fd18.mtx.hgr.random100	graphred15	16428	16428	16428	99387	13360	80898	1024	0.02026	21	10240
fd18.mtx.hgr.random100	graphred15	16428	16428	16428	99387	13360	80898	1024	0.02103	203	10240
fd18.mtx.hgr.random100	graphred15	16428	16428	16428	99387	13360	80898	1024	0.02071	1002	10240
g7jac040sc.mtx.hgr.random100	graphred15	11790	11790	11790	282665	2061	5582	2227	0.07217	1	12288
g7jac040sc.mtx.hgr.random100	graphred15	11790	11790	11790	282665	2061	5582	2227	0.07852	21	12288
g7jac040sc.mtx.hgr.random100	graphred15	11790	11790	11790	282665	2061	5582	2227	0.07968	203	12288
g7jac040sc.mtx.hgr.random100	graphred15	11790	11790	11790	282665	2061	5582	2227	0.07896	1002	12288
garon2.mtx.hgr.random100	graphred15	13535	13535	13535	725467	3647	44659	7	0.20139	1	22528
garon2.mtx.hgr.random100	graphred15	13535	13535	13535	725467	3647	44659	7	0.20379	21	22528
garon2.mtx.hgr.random100	graphred15	13535	13535	13535	725467	3647	44659	7	0.20017	203	22528
