graph	algo	n	m	e	rn	rm	re	offset	time	seed	mem
lhr14.mtx.hgr.random100	reduce8	14270	14270	21.57	15	16	2.12	4307	0.17555	1	15360
lhr14.mtx.hgr.random100	reduce8	14270	14270	21.57	15	16	2.12	4307	0.16807	21	15360
lhr14.mtx.hgr.random100	reduce8	14270	14270	21.57	15	16	2.12	4307	0.17085	203	15360
lhr14.mtx.hgr.random100	reduce8	14270	14270	21.57	15	16	2.12	4307	0.16682	1002	15360
lp_pds_20.mtx.hgr.random100	reduce8	108175	33798	6.88	60816	16934	7.18	6380	0.27006	1	56320
lp_pds_20.mtx.hgr.random100	reduce8	108175	33798	6.88	60816	16934	7.18	6380	0.27007	21	56320
lp_pds_20.mtx.hgr.random100	reduce8	108175	33798	6.88	60816	16934	7.18	6380	0.27409	203	56320
lp_pds_20.mtx.hgr.random100	reduce8	108175	33798	6.88	60816	16934	7.18	6380	0.27250	1002	56320
m14b.mtx.hgr.random100	reduce8	214765	214765	15.64	180553	199145	13.19	0	4.13555	1	284672
msc10848.mtx.hgr.random100	reduce8	10848	10848	113.36	121	112	2.93	42	0.86866	1	56320
m14b.mtx.hgr.random100	reduce8	214765	214765	15.64	180553	199145	13.19	0	4.17908	21	284672
msc10848.mtx.hgr.random100	reduce8	10848	10848	113.36	121	112	2.93	42	0.85491	21	56320
m14b.mtx.hgr.random100	reduce8	214765	214765	15.64	180553	199145	13.19	0	4.19865	203	284672
m14b.mtx.hgr.random100	reduce8	214765	214765	15.64	180553	199145	13.19	0	4.14431	1002	284672
msc10848.mtx.hgr.random100	reduce8	10848	10848	113.36	121	112	2.93	42	0.85588	203	56320
msc10848.mtx.hgr.random100	reduce8	10848	10848	113.36	121	112	2.93	42	0.85572	1002	56320
mult_dcop_01.mtx.hgr.random100.rendered	reduce8	25187	25187	7.67	0	0	0.00	1540	277.24129	21	2104320
mult_dcop_01.mtx.hgr.random100.rendered	reduce8	25187	25187	7.67	0	0	0.00	1540	278.81779	203	2104320
NotreDame_actors.mtx.hgr.random100	reduce8	127823	383640	3.83	10770	14952	3.37	17457	11.69410	1	301056
NotreDame_actors.mtx.hgr.random100	reduce8	127823	383640	3.83	10770	14952	3.37	17457	11.92270	21	301056
mult_dcop_01.mtx.hgr.random100.rendered	reduce8	25187	25187	7.67	0	0	0.00	1540	294.93006	1	2104320
pdb1HYS.mtx.hgr.random100	reduce8	36417	36417	119.31	6899	8616	29.10	17	3.76794	1	175104
mult_dcop_01.mtx.hgr.random100.rendered	reduce8	25187	25187	7.67	0	0	0.00	1540	295.57298	1002	2104320
pdb1HYS.mtx.hgr.random100	reduce8	36417	36417	119.31	6899	8616	29.10	17	3.94042	21	175104
NotreDame_actors.mtx.hgr.random100	reduce8	127823	383640	3.83	10770	14952	3.37	17457	11.00423	203	301056
pdb1HYS.mtx.hgr.random100	reduce8	36417	36417	119.31	6899	8616	29.10	17	3.77703	203	175104
NotreDame_actors.mtx.hgr.random100	reduce8	127823	383640	3.83	10770	14952	3.37	17457	11.00277	1002	301056
poli3.mtx.hgr.random100	reduce8	16955	16955	2.23	0	0	0.00	3523	0.03387	1	11264
poli3.mtx.hgr.random100	reduce8	16955	16955	2.23	0	0	0.00	3523	0.03094	21	11264
poli3.mtx.hgr.random100	reduce8	16955	16955	2.23	0	0	0.00	3523	0.03100	203	11264
pdb1HYS.mtx.hgr.random100	reduce8	36417	36417	119.31	6899	8616	29.10	17	3.74455	1002	175104
poli3.mtx.hgr.random100	reduce8	16955	16955	2.23	0	0	0.00	3523	0.03115	1002	11264
psse2.mtx.hgr.random100	reduce8	11028	28634	4.03	18	18	2.00	3089	0.02028	1	8192
psse2.mtx.hgr.random100	reduce8	11028	28634	4.03	18	18	2.00	3089	0.01760	21	8192
psse2.mtx.hgr.random100	reduce8	11028	28634	4.03	18	18	2.00	3089	0.01754	203	8192
psse2.mtx.hgr.random100	reduce8	11028	28634	4.03	18	18	2.00	3089	0.01829	1002	8192
rgg_n_2_18_s0.mtx.hgr.random100	reduce8	262144	262141	11.80	150322	171200	7.12	454	2.52754	1	177152
rgg_n_2_18_s0.mtx.hgr.random100	reduce8	262144	262141	11.80	150322	171200	7.12	454	2.53442	21	177152
sat14_6s11-opt.cnf.hgr.random100	reduce8	66552	97312	2.33	4354	5308	2.10	28189	0.09116	1	26624
rgg_n_2_18_s0.mtx.hgr.random100	reduce8	262144	262141	11.80	150322	171200	7.12	454	2.54230	203	177152
sat14_6s11-opt.cnf.hgr.random100	reduce8	66552	97312	2.33	4354	5308	2.10	28189	0.08901	21	26624
rgg_n_2_18_s0.mtx.hgr.random100	reduce8	262144	262141	11.80	150322	171200	7.12	454	2.53594	1002	177152
sat14_6s11-opt.cnf.hgr.random100	reduce8	66552	97312	2.33	4354	5308	2.10	28189	0.08864	203	26624
sat14_6s11-opt.cnf.hgr.random100	reduce8	66552	97312	2.33	4354	5308	2.10	28189	0.08987	1002	26624
sat14_6s12.cnf.hgr.random100	reduce8	68066	99580	2.33	10360	13150	2.10	26253	0.17614	1	29696
sat14_6s12.cnf.hgr.random100	reduce8	68066	99580	2.33	10360	13150	2.10	26253	0.17609	21	29696
sat14_6s12.cnf.hgr.random100	reduce8	68066	99580	2.33	10360	13150	2.10	26253	0.17317	203	29696
sat14_6s12.cnf.hgr.random100	reduce8	68066	99580	2.33	10360	13150	2.10	26253	0.17610	1002	29696
sat14_6s130-opt.cnf.hgr.random100	reduce8	98654	144361	2.33	5623	7075	2.06	42996	0.15516	1	39936
sat14_6s130-opt.cnf.hgr.random100	reduce8	98654	144361	2.33	5623	7075	2.06	42996	0.15458	21	39936
sat14_6s130-opt.cnf.hgr.random100	reduce8	98654	144361	2.33	5623	7075	2.06	42996	0.15604	203	39936
sat14_6s130-opt.cnf.hgr.random100	reduce8	98654	144361	2.33	5623	7075	2.06	42996	0.15636	1002	39936
sat14_6s130-opt.cnf.primal.hgr.random100	reduce8	49327	144361	2.33	20720	20826	2.53	9959	0.15331	1	30720
sat14_6s130-opt.cnf.primal.hgr.random100	reduce8	49327	144361	2.33	20720	20826	2.53	9959	0.15476	21	30720
sat14_6s130-opt.cnf.primal.hgr.random100	reduce8	49327	144361	2.33	20720	20826	2.53	9959	0.15384	203	30720
sat14_6s130-opt.cnf.primal.hgr.random100	reduce8	49327	144361	2.33	20720	20826	2.53	9959	0.15455	1002	30720
sat14_6s133.cnf.primal.hgr.random100	reduce8	48215	140968	2.33	21993	22141	2.50	8987	0.15344	1	31744
sat14_6s133.cnf.primal.hgr.random100	reduce8	48215	140968	2.33	21993	22141	2.50	8987	0.15563	21	30720
sat14_6s133.cnf.primal.hgr.random100	reduce8	48215	140968	2.33	21993	22141	2.50	8987	0.15519	203	31744
sat14_6s133.cnf.primal.hgr.random100	reduce8	48215	140968	2.33	21993	22141	2.50	8987	0.15407	1002	31744
sat14_6s16.cnf.primal.hgr.random100	reduce8	31483	91888	2.33	15793	16236	2.52	5092	0.13349	1	21504
sat14_6s16.cnf.primal.hgr.random100	reduce8	31483	91888	2.33	15793	16236	2.52	5092	0.12936	21	21504
sat14_6s16.cnf.primal.hgr.random100	reduce8	31483	91888	2.33	15793	16236	2.52	5092	0.12807	203	21504
sat14_6s16.cnf.primal.hgr.random100	reduce8	31483	91888	2.33	15793	16236	2.52	5092	0.13011	1002	21504
sat14_6s184.cnf.hgr.random100	reduce8	66730	97516	2.33	10980	13984	2.14	25420	0.13529	1	28672
sat14_6s184.cnf.hgr.random100	reduce8	66730	97516	2.33	10980	13984	2.14	25420	0.13752	21	28672
sat14_6s184.cnf.hgr.random100	reduce8	66730	97516	2.33	10980	13984	2.14	25420	0.13561	203	28672
sat14_6s184.cnf.hgr.random100	reduce8	66730	97516	2.33	10980	13984	2.14	25420	0.13593	1002	28672
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce8	1632906	381708	10.06	1037403	368559	5.63	13149	8.82213	1	861184
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce8	1632906	381708	10.06	1037403	368559	5.63	13149	8.81739	21	861184
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce8	1632906	381708	10.06	1037403	368559	5.63	13149	8.89216	203	861184
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce8	1632906	381708	10.06	1037403	368559	5.63	13149	8.75083	1002	861184
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce8	29194	7729	9.98	4497	3843	2.41	1305	9.53179	1	67584
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce8	29194	7729	9.98	4497	3843	2.41	1305	9.60265	21	67584
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce8	29194	7729	9.98	4497	3843	2.41	1305	9.85447	203	67584
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce8	29194	7729	9.98	4497	3843	2.41	1305	9.88499	1002	67584
case39.mtx.hgr.random100.rendered	reduce8	40216	40216	25.91	0	0	0.00	10017	904.27575	203	1635328
case39.mtx.hgr.random100.rendered	reduce8	40216	40216	25.91	0	0	0.00	10017	906.07669	21	1635328
case39.mtx.hgr.random100.rendered	reduce8	40216	40216	25.91	0	0	0.00	10017	907.68953	1	1635328
case39.mtx.hgr.random100.rendered	reduce8	40216	40216	25.91	0	0	0.00	10017	907.51781	1002	1635328
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	reduce8	147853	9495	65.15	58119	6362	34.92	1502	45.13250	1	791552
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	reduce8	147853	9495	65.15	58119	6362	34.92	1502	44.91566	21	791552
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	reduce8	147853	9495	65.15	58119	6362	34.92	1502	44.93582	203	791552
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	reduce8	147853	9495	65.15	58119	6362	34.92	1502	45.01984	1002	791552
sat14_bob12m09-opt.cnf.dual.hgr.random100	reduce8	152446	51144	6.95	101583	51141	3.97	2	6.86430	1	166912
sat14_dated-10-11-u.cnf.hgr.random100	reduce8	283720	629461	2.27	26977	89104	2.60	81041	0.40650	1	140288
sat14_bob12m09-opt.cnf.dual.hgr.random100	reduce8	152446	51144	6.95	101583	51141	3.97	2	6.80020	21	166912
sat14_dated-10-11-u.cnf.hgr.random100	reduce8	283720	629461	2.27	26977	89104	2.60	81041	0.40206	21	140288
sat14_bob12m09-opt.cnf.dual.hgr.random100	reduce8	152446	51144	6.95	101583	51141	3.97	2	6.80731	203	166912
sat14_dated-10-11-u.cnf.hgr.random100	reduce8	283720	629461	2.27	26977	89104	2.60	81041	0.40725	203	140288
sat14_bob12m09-opt.cnf.dual.hgr.random100	reduce8	152446	51144	6.95	101583	51141	3.97	2	6.76826	1002	166912
sat14_dated-10-11-u.cnf.hgr.random100	reduce8	283720	629461	2.27	26977	89104	2.60	81041	0.40300	1002	140288
sat14_dated-10-17-u.cnf.hgr.random100	reduce8	459088	1070757	2.31	50155	209994	2.68	129101	0.73433	1	242688
sat14_dated-10-17-u.cnf.hgr.random100	reduce8	459088	1070757	2.31	50155	209994	2.68	129101	0.73449	21	242688
sat14_dated-10-17-u.cnf.hgr.random100	reduce8	459088	1070757	2.31	50155	209994	2.68	129101	0.73898	203	242688
sat14_dated-10-17-u.cnf.hgr.random100	reduce8	459088	1070757	2.31	50155	209994	2.68	129101	0.74504	1002	242688
sat14_E02F22.cnf.primal.hgr.random100	reduce8	13574	1301188	8.81	13450	70905	24.20	0	5.12726	1	237568
sat14_E02F22.cnf.primal.hgr.random100	reduce8	13574	1301188	8.81	13450	70905	24.20	0	4.89263	21	237568
sat14_E02F22.cnf.primal.hgr.random100	reduce8	13574	1301188	8.81	13450	70905	24.20	0	4.97194	203	237568
sat14_E02F22.cnf.primal.hgr.random100	reduce8	13574	1301188	8.81	13450	70905	24.20	0	5.07007	1002	237568
sat14_manol-pipe-c10nid_i.cnf.primal.hgr.random100	reduce8	252516	750877	2.33	127705	131096	2.54	38289	3.00246	1	157696
sat14_manol-pipe-c10nid_i.cnf.primal.hgr.random100	reduce8	252516	750877	2.33	127705	131096	2.54	38289	3.02464	21	157696
sat14_manol-pipe-c10nid_i.cnf.primal.hgr.random100	reduce8	252516	750877	2.33	127705	131096	2.54	38289	2.96896	203	157696
sat14_manol-pipe-c10nid_i.cnf.primal.hgr.random100	reduce8	252516	750877	2.33	127705	131096	2.54	38289	3.00231	1002	157696
dac2012_superblue9.hgr.random100	reduce8	844332	833808	3.48	95267	58655	4.07	168676	679.44569	1	2467044
sat14_MD5-30-5.cnf.dual.hgr.random100	reduce8	68103	8905	29.88	12890	8812	4.41	11	0.59012	1	69632
sat14_MD5-30-5.cnf.dual.hgr.random100	reduce8	68103	8905	29.88	12890	8812	4.41	11	0.58253	21	69632
sat14_MD5-30-5.cnf.dual.hgr.random100	reduce8	68103	8905	29.88	12890	8812	4.41	11	0.58489	203	69632
dac2012_superblue9.hgr.random100	reduce8	844332	833808	3.48	95267	58655	4.07	168676	680.34161	21	2467044
sat14_MD5-30-5.cnf.dual.hgr.random100	reduce8	68103	8905	29.88	12890	8812	4.41	11	0.59239	1002	69632
sat14_openstacks-p30_3.085-SAT.cnf.hgr.random100	reduce8	643132	1643601	2.38	67834	83836	3.92	154727	11.25910	1	419840
sat14_openstacks-p30_3.085-SAT.cnf.hgr.random100	reduce8	643132	1643601	2.38	67834	83836	3.92	154727	11.38473	21	419840
dac2012_superblue9.hgr.random100	reduce8	844332	833808	3.48	95267	58655	4.07	168676	693.46543	1002	2467040
dac2012_superblue9.hgr.random100	reduce8	844332	833808	3.48	95267	58655	4.07	168676	701.29261	203	2467040
sat14_openstacks-p30_3.085-SAT.cnf.hgr.random100	reduce8	643132	1643601	2.38	67834	83836	3.92	154727	11.27466	203	419840
sat14_openstacks-p30_3.085-SAT.cnf.hgr.random100	reduce8	643132	1643601	2.38	67834	83836	3.92	154727	11.44324	1002	419840
sat14_manol-pipe-c10nidw.cnf.dual.hgr.random100	reduce8	1291714	433601	6.95	860669	433296	3.97	153	188.49863	1	1506212
sat14_manol-pipe-c10nidw.cnf.dual.hgr.random100	reduce8	1291714	433601	6.95	860669	433296	3.97	153	187.97070	21	1506208
sat14_manol-pipe-c10nidw.cnf.dual.hgr.random100	reduce8	1291714	433601	6.95	860669	433296	3.97	153	189.12728	203	1506208
sat14_manol-pipe-c10nidw.cnf.dual.hgr.random100	reduce8	1291714	433601	6.95	860669	433296	3.97	153	188.70486	1002	1505184
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce8	386163	14636	112.93	126654	10519	42.66	1958	467.11251	1	3972096
sat14_q_query_3_L100_coli.sat.cnf.primal.hgr.random100	reduce8	315617	1522583	2.89	222727	589405	3.10	31653	1.27203	1	313344
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce8	386163	14636	112.93	126654	10519	42.66	1958	468.16975	21	3972096
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce8	386163	14636	112.93	126654	10519	42.66	1958	468.31950	203	3973120
sat14_q_query_3_L100_coli.sat.cnf.primal.hgr.random100	reduce8	315617	1522583	2.89	222727	589405	3.10	31653	1.27004	21	313344
sat14_q_query_3_L100_coli.sat.cnf.primal.hgr.random100	reduce8	315617	1522583	2.89	222727	589405	3.10	31653	1.23871	203	313344
sat14_q_query_3_L100_coli.sat.cnf.primal.hgr.random100	reduce8	315617	1522583	2.89	222727	589405	3.10	31653	1.26142	1002	313344
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce8	386163	14636	112.93	126654	10519	42.66	1958	469.92296	1002	3973120
sat14_q_query_3_L150_coli.sat.cnf.hgr.random100	reduce8	973984	2456708	2.91	122810	404702	2.22	439447	8.50161	1	512000
