graph	algo	n	m	rn	rm	gm	rgm	seed
kron_g500-logn16.mtx.hgr.random100.rendered	reduce8	65536	55321	0	0	486364995	0	1002
mult_dcop_01.mtx.hgr.random100.rendered	reduce8	25187	25187	0	0	259188097	0	21
rgg_n_2_18_s0.mtx.hgr.random100	reduce8	262144	262141	150322	171201	4458577	1489136	1002
sat14_6s11-opt.cnf.hgr.random100	reduce8	66552	97312	4354	5308	161684	6342	203
mult_dcop_01.mtx.hgr.random100.rendered	reduce8	25187	25187	0	0	259188097	0	203
sat14_6s11-opt.cnf.hgr.random100	reduce8	66552	97312	4354	5308	161684	6342	1002
mult_dcop_01.mtx.hgr.random100.rendered	reduce8	25187	25187	0	0	259188097	0	1002
sat14_6s12.cnf.hgr.random100	reduce8	68066	99580	10360	13150	165345	15807	1
sat14_6s12.cnf.hgr.random100	reduce8	68066	99580	10360	13150	165345	15807	21
sat14_6s12.cnf.hgr.random100	reduce8	68066	99580	10360	13150	165345	15807	203
sat14_6s12.cnf.hgr.random100	reduce8	68066	99580	10360	13150	165345	15807	1002
sat14_6s130-opt.cnf.hgr.random100	reduce8	98654	144361	5623	7075	240044	7987	1
sat14_6s130-opt.cnf.hgr.random100	reduce8	98654	144361	5623	7075	240044	7987	21
sat14_6s130-opt.cnf.hgr.random100	reduce8	98654	144361	5623	7075	240044	7987	203
sat14_6s130-opt.cnf.hgr.random100	reduce8	98654	144361	5623	7075	240044	7987	1002
sat14_6s130-opt.cnf.primal.hgr.random100	reduce8	49327	144361	20587	20693	137440	42535	1
sat14_6s130-opt.cnf.primal.hgr.random100	reduce8	49327	144361	20587	20693	137440	42535	21
sat14_6s130-opt.cnf.primal.hgr.random100	reduce8	49327	144361	20587	20693	137440	42535	203
sat14_6s130-opt.cnf.primal.hgr.random100	reduce8	49327	144361	20587	20693	137440	42535	1002
sat14_6s133.cnf.primal.hgr.random100	reduce8	48215	140968	21995	22143	133638	44039	1
sat14_6s133.cnf.primal.hgr.random100	reduce8	48215	140968	21995	22143	133638	44039	21
