graph	algo	n	m	e	rn	rm	re	offset	time	seed	mem
sat14_6s130-opt.cnf.primal.hgr.random100	reduce8	49327	144361	2.33	20587	20693	2.53	10008	0.45003	203	26624
sat14_6s130-opt.cnf.primal.hgr.random100	reduce8	49327	144361	2.33	20587	20693	2.53	10008	0.45215	1002	26624
sat14_6s133.cnf.primal.hgr.random100	reduce8	48215	140968	2.33	21995	22143	2.50	8986	0.40938	1	27648
sat14_6s133.cnf.primal.hgr.random100	reduce8	48215	140968	2.33	21995	22143	2.50	8986	0.40909	21	27648
sat14_6s133.cnf.primal.hgr.random100	reduce8	48215	140968	2.33	21995	22143	2.50	8986	0.40659	203	27648
sat14_6s133.cnf.primal.hgr.random100	reduce8	48215	140968	2.33	21995	22143	2.50	8986	0.40696	1002	27648
sat14_6s16.cnf.primal.hgr.random100	reduce8	31483	91888	2.33	15793	16236	2.52	5092	0.35010	1	19456
dac2012_superblue3.hgr.random100	reduce8	917944	898001	3.46	162771	116746	4.37	173433	1328.80054	1002	244776
sat14_6s16.cnf.primal.hgr.random100	reduce8	31483	91888	2.33	15793	16236	2.52	5092	0.34552	21	19456
sat14_6s16.cnf.primal.hgr.random100	reduce8	31483	91888	2.33	15793	16236	2.52	5092	0.34581	203	19456
sat14_6s16.cnf.primal.hgr.random100	reduce8	31483	91888	2.33	15793	16236	2.52	5092	0.34508	1002	19456
sat14_6s184.cnf.hgr.random100	reduce8	66730	97516	2.33	10980	13984	2.14	25420	0.29756	1	23552
sat14_6s184.cnf.hgr.random100	reduce8	66730	97516	2.33	10980	13984	2.14	25420	0.29535	21	23552
sat14_6s184.cnf.hgr.random100	reduce8	66730	97516	2.33	10980	13984	2.14	25420	0.30544	203	23552
sat14_6s184.cnf.hgr.random100	reduce8	66730	97516	2.33	10980	13984	2.14	25420	0.29680	1002	23552
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce8	1632906	381708	10.06	1037403	368559	5.63	13149	36.97319	1	409600
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce8	1632906	381708	10.06	1037403	368559	5.63	13149	36.70754	21	409600
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce8	1632906	381708	10.06	1037403	368559	5.63	13149	36.74247	203	409600
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce8	1632906	381708	10.06	1037403	368559	5.63	13149	36.72654	1002	409600
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce8	29194	7729	9.98	4497	3843	2.41	1305	121.35051	1	9216
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce8	29194	7729	9.98	4497	3843	2.41	1305	121.45585	203	9216
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce8	29194	7729	9.98	4497	3843	2.41	1305	125.22138	21	9216
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce8	29194	7729	9.98	4497	3843	2.41	1305	125.00776	1002	8192
dac2012_superblue6.hgr.random100	reduce8	1011662	1006629	3.37	212947	198376	3.37	197075	1694.40070	203	277240
dac2012_superblue6.hgr.random100	reduce8	1011662	1006629	3.37	212947	198376	3.37	197075	1703.60838	1	277240
dac2012_superblue6.hgr.random100	reduce8	1011662	1006629	3.37	212947	198376	3.37	197075	1703.52026	1002	277244
dac2012_superblue6.hgr.random100	reduce8	1011662	1006629	3.37	212947	198376	3.37	197075	1706.85716	21	277240
sat14_bob12m09-opt.cnf.dual.hgr.random100	reduce8	152446	51144	6.95	101583	51141	3.97	2	76.54274	1	43008
sat14_dated-10-11-u.cnf.hgr.random100	reduce8	283720	629461	2.27	26977	89104	2.60	81041	0.89417	1	117760
sat14_dated-10-11-u.cnf.hgr.random100	reduce8	283720	629461	2.27	26977	89104	2.60	81041	0.89480	21	117760
sat14_dated-10-11-u.cnf.hgr.random100	reduce8	283720	629461	2.27	26977	89104	2.60	81041	0.89152	203	117760
sat14_dated-10-11-u.cnf.hgr.random100	reduce8	283720	629461	2.27	26977	89104	2.60	81041	0.89319	1002	117760
sat14_bob12m09-opt.cnf.dual.hgr.random100	reduce8	152446	51144	6.95	101583	51141	3.97	2	76.18983	21	43008
sat14_dated-10-17-u.cnf.hgr.random100	reduce8	459088	1070757	2.31	50155	209994	2.68	129101	2.41771	1	200704
sat14_dated-10-17-u.cnf.hgr.random100	reduce8	459088	1070757	2.31	50155	209994	2.68	129101	2.40161	21	200704
sat14_dated-10-17-u.cnf.hgr.random100	reduce8	459088	1070757	2.31	50155	209994	2.68	129101	2.40991	203	200704
sat14_bob12m09-opt.cnf.dual.hgr.random100	reduce8	152446	51144	6.95	101583	51141	3.97	2	77.88791	203	43008
sat14_bob12m09-opt.cnf.dual.hgr.random100	reduce8	152446	51144	6.95	101583	51141	3.97	2	77.06808	1002	43008
sat14_dated-10-17-u.cnf.hgr.random100	reduce8	459088	1070757	2.31	50155	209994	2.68	129101	2.40207	1002	200704
sat14_E02F22.cnf.primal.hgr.random100	reduce8	13574	1301188	8.81	13450	70905	24.20	0	5.13331	1	232448
sat14_E02F22.cnf.primal.hgr.random100	reduce8	13574	1301188	8.81	13450	70905	24.20	0	5.08013	21	231424
sat14_E02F22.cnf.primal.hgr.random100	reduce8	13574	1301188	8.81	13450	70905	24.20	0	5.24344	203	232448
sat14_E02F22.cnf.primal.hgr.random100	reduce8	13574	1301188	8.81	13450	70905	24.20	0	5.15632	1002	232448
sat14_manol-pipe-c10nid_i.cnf.primal.hgr.random100	reduce8	252516	750877	2.33	127694	131084	2.54	38295	15.13437	1	131072
sat14_manol-pipe-c10nid_i.cnf.primal.hgr.random100	reduce8	252516	750877	2.33	127694	131084	2.54	38295	15.09602	21	131072
sat14_manol-pipe-c10nid_i.cnf.primal.hgr.random100	reduce8	252516	750877	2.33	127694	131084	2.54	38295	14.95809	203	131072
sat14_manol-pipe-c10nid_i.cnf.primal.hgr.random100	reduce8	252516	750877	2.33	127694	131084	2.54	38295	14.90160	1002	131072
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	reduce8	147853	9495	65.15	58119	6362	34.92	1502	1301.21607	1	34816
sat14_MD5-30-5.cnf.dual.hgr.random100	reduce8	68103	8905	29.88	12890	8812	4.41	11	0.80730	1	17408
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	reduce8	147853	9495	65.15	58119	6362	34.92	1502	1299.90720	203	34816
sat14_MD5-30-5.cnf.dual.hgr.random100	reduce8	68103	8905	29.88	12890	8812	4.41	11	0.80043	21	17408
sat14_MD5-30-5.cnf.dual.hgr.random100	reduce8	68103	8905	29.88	12890	8812	4.41	11	0.80120	203	17408
sat14_MD5-30-5.cnf.dual.hgr.random100	reduce8	68103	8905	29.88	12890	8812	4.41	11	0.80210	1002	17408
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	reduce8	147853	9495	65.15	58119	6362	34.92	1502	1311.18097	21	34816
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	reduce8	147853	9495	65.15	58119	6362	34.92	1502	1309.09601	1002	34816
sat14_openstacks-p30_3.085-SAT.cnf.hgr.random100	reduce8	643132	1643601	2.38	67834	83836	3.92	154727	95.71232	1	282624
sat14_openstacks-p30_3.085-SAT.cnf.hgr.random100	reduce8	643132	1643601	2.38	67834	83836	3.92	154727	95.85759	21	282624
sat14_openstacks-p30_3.085-SAT.cnf.hgr.random100	reduce8	643132	1643601	2.38	67834	83836	3.92	154727	95.95626	203	282624
sat14_openstacks-p30_3.085-SAT.cnf.hgr.random100	reduce8	643132	1643601	2.38	67834	83836	3.92	154727	96.20699	1002	281600
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce8	386163	14636	112.93	126654	10519	42.66	1958	2196.08066	1	82944
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce8	386163	14636	112.93	126654	10519	42.66	1958	2196.17576	203	82944
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce8	386163	14636	112.93	126654	10519	42.66	1958	2200.13325	21	82944
