graph	 seed	 red_n	 red_m	 time	 reduction
c-64.mtx.hgr.random100	21	0	0	0.00018	node_domination
c-64.mtx.hgr.random100	21	4	2	0.00175	twin
c-64.mtx.hgr.random100	21	0	0	0.00000	unconfined
ca-CondMat.mtx.hgr.random100	21	0	14459	0.00085	edge_size
ca-CondMat.mtx.hgr.random100	21	21098	2729	0.02333	node_degree_one
ca-CondMat.mtx.hgr.random100	21	0	5338	0.00288	edge_domination
ca-CondMat.mtx.hgr.random100	21	517	0	0.00075	fast_node_domination
ca-CondMat.mtx.hgr.random100	21	1506	601	0.00077	node_domination
ca-CondMat.mtx.hgr.random100	21	12	6	0.00079	twin
ca-CondMat.mtx.hgr.random100	21	0	0	0.00000	unconfined
c-64.mtx.hgr.random100	203	0	5724	0.00047	edge_size
c-64.mtx.hgr.random100	203	50907	22598	4.21170	node_degree_one
c-64.mtx.hgr.random100	203	0	22711	0.00509	edge_domination
c-64.mtx.hgr.random100	203	124	0	0.00030	fast_node_domination
c-64.mtx.hgr.random100	203	0	0	0.00018	node_domination
c-64.mtx.hgr.random100	203	4	2	0.00176	twin
c-64.mtx.hgr.random100	203	0	0	0.00000	unconfined
ca-CondMat.mtx.hgr.random100	203	0	14459	0.00085	edge_size
ca-CondMat.mtx.hgr.random100	203	21098	2729	0.02342	node_degree_one
ca-CondMat.mtx.hgr.random100	203	0	5338	0.00287	edge_domination
ca-CondMat.mtx.hgr.random100	203	517	0	0.00075	fast_node_domination
ca-CondMat.mtx.hgr.random100	203	1506	601	0.00077	node_domination
ca-CondMat.mtx.hgr.random100	203	12	6	0.00079	twin
ca-CondMat.mtx.hgr.random100	203	0	0	0.00000	unconfined
c-64.mtx.hgr.random100	1002	0	5724	0.00047	edge_size
c-64.mtx.hgr.random100	1002	50907	22598	4.21939	node_degree_one
c-64.mtx.hgr.random100	1002	0	22711	0.00498	edge_domination
c-64.mtx.hgr.random100	1002	124	0	0.00031	fast_node_domination
c-64.mtx.hgr.random100	1002	0	0	0.00018	node_domination
c-64.mtx.hgr.random100	1002	4	2	0.00175	twin
c-64.mtx.hgr.random100	1002	0	0	0.00000	unconfined
ca-CondMat.mtx.hgr.random100	1002	0	14459	0.00085	edge_size
ca-CondMat.mtx.hgr.random100	1002	21098	2729	0.02316	node_degree_one
ca-CondMat.mtx.hgr.random100	1002	0	5338	0.00289	edge_domination
ca-CondMat.mtx.hgr.random100	1002	517	0	0.00076	fast_node_domination
ca-CondMat.mtx.hgr.random100	1002	1506	601	0.00081	node_domination
ca-CondMat.mtx.hgr.random100	1002	12	6	0.00079	twin
ca-CondMat.mtx.hgr.random100	1002	0	0	0.00000	unconfined
case39.mtx.hgr.random100.rendered	1	0	21	0.00041	edge_size
case39.mtx.hgr.random100.rendered	1	40125	10011	0.25440	node_degree_one
case39.mtx.hgr.random100.rendered	1	0	30180	0.01561	edge_domination
case39.mtx.hgr.random100.rendered	1	78	0	0.00030	fast_node_domination
case39.mtx.hgr.random100.rendered	1	13	4	0.00021	node_domination
case39.mtx.hgr.random100.rendered	1	0	0	0.00138	twin
case39.mtx.hgr.random100.rendered	1	0	0	0.00136	unconfined
case39.mtx.hgr.random100.rendered	21	0	21	0.00042	edge_size
case39.mtx.hgr.random100.rendered	21	40125	10011	0.25615	node_degree_one
case39.mtx.hgr.random100.rendered	21	0	30180	0.01524	edge_domination
case39.mtx.hgr.random100.rendered	21	78	0	0.00030	fast_node_domination
case39.mtx.hgr.random100.rendered	21	13	4	0.00020	node_domination
case39.mtx.hgr.random100.rendered	21	0	0	0.00137	twin
case39.mtx.hgr.random100.rendered	21	0	0	0.00137	unconfined
case39.mtx.hgr.random100.rendered	203	0	21	0.00041	edge_size
case39.mtx.hgr.random100.rendered	203	40125	10011	0.25627	node_degree_one
case39.mtx.hgr.random100.rendered	203	0	30180	0.01545	edge_domination
case39.mtx.hgr.random100.rendered	203	78	0	0.00031	fast_node_domination
case39.mtx.hgr.random100.rendered	203	13	4	0.00020	node_domination
case39.mtx.hgr.random100.rendered	203	0	0	0.00138	twin
case39.mtx.hgr.random100.rendered	203	0	0	0.00136	unconfined
case39.mtx.hgr.random100.rendered	1002	0	21	0.00041	edge_size
case39.mtx.hgr.random100.rendered	1002	40125	10011	0.25724	node_degree_one
case39.mtx.hgr.random100.rendered	1002	0	30180	0.01571	edge_domination
case39.mtx.hgr.random100.rendered	1002	78	0	0.00030	fast_node_domination
case39.mtx.hgr.random100.rendered	1002	13	4	0.00020	node_domination
case39.mtx.hgr.random100.rendered	1002	0	0	0.00138	twin
case39.mtx.hgr.random100.rendered	1002	0	0	0.00136	unconfined
Chebyshev4.mtx.hgr.random100.rendered	1	68121	68121	0.06223	edge_size
Chebyshev4.mtx.hgr.random100.rendered	1	0	0	0.00000	node_degree_one
Chebyshev4.mtx.hgr.random100.rendered	1	0	0	0.00000	edge_domination
Chebyshev4.mtx.hgr.random100.rendered	1	0	0	0.00000	fast_node_domination
Chebyshev4.mtx.hgr.random100.rendered	1	0	0	0.00000	node_domination
Chebyshev4.mtx.hgr.random100.rendered	1	0	0	0.00000	twin
