graph	algo	n	m	e	rn	rm	re	offset	time	seed	mem
sat14_6s16.cnf.primal.hgr.random100	reduce8	31483	91888	2.33	15793	16236	2.52	5092	0.13219	1	21504
sat14_6s16.cnf.primal.hgr.random100	reduce8	31483	91888	2.33	15793	16236	2.52	5092	0.12880	21	21504
sat14_6s16.cnf.primal.hgr.random100	reduce8	31483	91888	2.33	15793	16236	2.52	5092	0.12958	203	21504
sat14_6s16.cnf.primal.hgr.random100	reduce8	31483	91888	2.33	15793	16236	2.52	5092	0.12890	1002	21504
sat14_6s184.cnf.hgr.random100	reduce8	66730	97516	2.33	10980	13984	2.14	25420	0.13593	1	28672
sat14_6s184.cnf.hgr.random100	reduce8	66730	97516	2.33	10980	13984	2.14	25420	0.13812	21	28672
sat14_6s184.cnf.hgr.random100	reduce8	66730	97516	2.33	10980	13984	2.14	25420	0.13728	203	28672
sat14_6s184.cnf.hgr.random100	reduce8	66730	97516	2.33	10980	13984	2.14	25420	0.13873	1002	29696
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce8	1632906	381708	10.06	1037403	368559	5.63	13149	4.54421	1	573440
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce8	1632906	381708	10.06	1037403	368559	5.63	13149	4.55033	21	574464
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce8	29194	7729	9.98	4497	3843	2.41	1305	2.75052	1	24576
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce8	1632906	381708	10.06	1037403	368559	5.63	13149	4.56034	203	574464
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce8	1632906	381708	10.06	1037403	368559	5.63	13149	4.56744	1002	574464
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce8	29194	7729	9.98	4497	3843	2.41	1305	2.77731	21	24576
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce8	29194	7729	9.98	4497	3843	2.41	1305	2.74345	203	24576
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce8	29194	7729	9.98	4497	3843	2.41	1305	2.74682	1002	24576
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	reduce8	147853	9495	65.15	58119	6362	34.92	1502	6.57399	1	349184
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	reduce8	147853	9495	65.15	58119	6362	34.92	1502	6.59174	21	349184
sat14_bob12m09-opt.cnf.dual.hgr.random100	reduce8	152446	51144	6.95	101583	51141	3.97	2	3.21099	1	79872
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	reduce8	147853	9495	65.15	58119	6362	34.92	1502	6.53601	203	349184
sat14_bob12m09-opt.cnf.dual.hgr.random100	reduce8	152446	51144	6.95	101583	51141	3.97	2	3.14742	21	79872
sat14_dated-10-11-u.cnf.hgr.random100	reduce8	283720	629461	2.27	26977	89104	2.60	81041	0.34458	1	134144
sat14_bob12m09-opt.cnf.dual.hgr.random100	reduce8	152446	51144	6.95	101583	51141	3.97	2	3.13740	203	79872
sat14_dated-10-11-u.cnf.hgr.random100	reduce8	283720	629461	2.27	26977	89104	2.60	81041	0.34696	21	134144
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	reduce8	147853	9495	65.15	58119	6362	34.92	1502	6.52068	1002	349184
sat14_bob12m09-opt.cnf.dual.hgr.random100	reduce8	152446	51144	6.95	101583	51141	3.97	2	3.17412	1002	79872
sat14_dated-10-11-u.cnf.hgr.random100	reduce8	283720	629461	2.27	26977	89104	2.60	81041	0.34661	203	134144
sat14_dated-10-11-u.cnf.hgr.random100	reduce8	283720	629461	2.27	26977	89104	2.60	81041	0.34148	1002	134144
sat14_dated-10-17-u.cnf.hgr.random100	reduce8	459088	1070757	2.31	50155	209994	2.68	129101	0.63519	1	230400
sat14_dated-10-17-u.cnf.hgr.random100	reduce8	459088	1070757	2.31	50155	209994	2.68	129101	0.63511	21	230400
sat14_dated-10-17-u.cnf.hgr.random100	reduce8	459088	1070757	2.31	50155	209994	2.68	129101	0.62911	203	230400
sat14_dated-10-17-u.cnf.hgr.random100	reduce8	459088	1070757	2.31	50155	209994	2.68	129101	0.63409	1002	230400
sat14_E02F22.cnf.primal.hgr.random100	reduce8	13574	1301188	8.81	13450	70905	24.20	0	3.27766	1	239616
sat14_E02F22.cnf.primal.hgr.random100	reduce8	13574	1301188	8.81	13450	70905	24.20	0	3.39434	21	239616
sat14_E02F22.cnf.primal.hgr.random100	reduce8	13574	1301188	8.81	13450	70905	24.20	0	3.37946	203	239616
sat14_E02F22.cnf.primal.hgr.random100	reduce8	13574	1301188	8.81	13450	70905	24.20	0	3.42982	1002	239616
sat14_manol-pipe-c10nid_i.cnf.primal.hgr.random100	reduce8	252516	750877	2.33	127694	131084	2.54	38295	2.90991	1	152576
sat14_manol-pipe-c10nid_i.cnf.primal.hgr.random100	reduce8	252516	750877	2.33	127694	131084	2.54	38295	2.88331	21	152576
sat14_manol-pipe-c10nid_i.cnf.primal.hgr.random100	reduce8	252516	750877	2.33	127694	131084	2.54	38295	2.88307	203	152576
sat14_manol-pipe-c10nid_i.cnf.primal.hgr.random100	reduce8	252516	750877	2.33	127694	131084	2.54	38295	2.88496	1002	152576
sat14_MD5-30-5.cnf.dual.hgr.random100	reduce8	68103	8905	29.88	12890	8812	4.41	11	0.17120	1	22528
sat14_MD5-30-5.cnf.dual.hgr.random100	reduce8	68103	8905	29.88	12890	8812	4.41	11	0.16344	21	22528
sat14_MD5-30-5.cnf.dual.hgr.random100	reduce8	68103	8905	29.88	12890	8812	4.41	11	0.17323	203	22528
sat14_MD5-30-5.cnf.dual.hgr.random100	reduce8	68103	8905	29.88	12890	8812	4.41	11	0.16428	1002	22528
sat14_openstacks-p30_3.085-SAT.cnf.hgr.random100	reduce8	643132	1643601	2.38	67834	83836	3.92	154727	11.10077	1	374784
sat14_openstacks-p30_3.085-SAT.cnf.hgr.random100	reduce8	643132	1643601	2.38	67834	83836	3.92	154727	11.21040	21	374784
sat14_openstacks-p30_3.085-SAT.cnf.hgr.random100	reduce8	643132	1643601	2.38	67834	83836	3.92	154727	11.19831	203	374784
sat14_openstacks-p30_3.085-SAT.cnf.hgr.random100	reduce8	643132	1643601	2.38	67834	83836	3.92	154727	11.15914	1002	374784
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce8	386163	14636	112.93	126654	10519	42.66	1958	67.53467	1	1822720
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce8	386163	14636	112.93	126654	10519	42.66	1958	67.40127	21	1822720
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce8	386163	14636	112.93	126654	10519	42.66	1958	67.53039	203	1822720
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce8	386163	14636	112.93	126654	10519	42.66	1958	67.58659	1002	1822720
sat14_manol-pipe-c10nidw.cnf.dual.hgr.random100	reduce8	1291714	433601	6.95	860669	433296	3.97	153	63.46996	1	708512
sat14_manol-pipe-c10nidw.cnf.dual.hgr.random100	reduce8	1291714	433601	6.95	860669	433296	3.97	153	63.86186	21	708516
sat14_manol-pipe-c10nidw.cnf.dual.hgr.random100	reduce8	1291714	433601	6.95	860669	433296	3.97	153	63.99888	203	708516
sat14_q_query_3_L100_coli.sat.cnf.primal.hgr.random100	reduce8	315617	1522583	2.89	222727	589405	3.10	31653	1.14000	1	293888
sat14_manol-pipe-c10nidw.cnf.dual.hgr.random100	reduce8	1291714	433601	6.95	860669	433296	3.97	153	63.71590	1002	708512
