graph	algo	n	m	e	rn	rm	re	offset	time	seed
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce15	1632906	381708	10.06	1037498	368559	5.63	13149	2.62621	1
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce14	1632906	381708	10.06	1037403	368559	5.63	13149	3.96719	1
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce3	1632906	381708	10.06	1632906	381708	10.06	0	0.24456	21
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce12	1632906	381708	10.06	1037403	368559	5.63	13149	6.28377	1
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce4	1632906	381708	10.06	1037498	368559	5.63	13149	0.87313	21
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce5	1632906	381708	10.06	1063796	381708	5.54	0	4.63877	21
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce6	1632906	381708	10.06	1442767	368559	9.36	13149	3.26297	21
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce8	1632906	381708	10.06	1037403	368559	5.63	13149	4.53598	21
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce7	1632906	381708	10.06	1050552	368559	5.63	0	5.85660	21
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce9	1632906	381708	10.06	1037403	368559	5.63	13149	4.50478	21
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce10	1632906	381708	10.06	1037403	368559	5.63	13149	4.73566	21
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce11	1632906	381708	10.06	1037403	368559	5.63	13149	4.42038	21
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce13	1632906	381708	10.06	1037403	368559	5.63	13149	3.49113	21
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce1	1632906	381708	10.06	1632906	381708	10.06	0	0.20027	203
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce15	1632906	381708	10.06	1037498	368559	5.63	13149	2.63703	21
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce14	1632906	381708	10.06	1037403	368559	5.63	13149	3.98016	21
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce2	1632906	381708	10.06	1442767	368559	9.36	13149	0.25697	203
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce12	1632906	381708	10.06	1037403	368559	5.63	13149	6.31395	21
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce3	1632906	381708	10.06	1632906	381708	10.06	0	0.24283	203
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce4	1632906	381708	10.06	1037498	368559	5.63	13149	0.87291	203
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce6	1632906	381708	10.06	1442767	368559	9.36	13149	3.31957	203
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce5	1632906	381708	10.06	1063796	381708	5.54	0	4.63116	203
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce8	1632906	381708	10.06	1037403	368559	5.63	13149	4.54022	203
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce7	1632906	381708	10.06	1050552	368559	5.63	0	5.86695	203
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce9	1632906	381708	10.06	1037403	368559	5.63	13149	4.50850	203
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce10	1632906	381708	10.06	1037403	368559	5.63	13149	4.73866	203
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce11	1632906	381708	10.06	1037403	368559	5.63	13149	4.42910	203
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce1	1632906	381708	10.06	1632906	381708	10.06	0	0.20516	1002
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce13	1632906	381708	10.06	1037403	368559	5.63	13149	3.53994	203
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce2	1632906	381708	10.06	1442767	368559	9.36	13149	0.24952	1002
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce15	1632906	381708	10.06	1037498	368559	5.63	13149	2.66457	203
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce14	1632906	381708	10.06	1037403	368559	5.63	13149	4.00997	203
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce3	1632906	381708	10.06	1632906	381708	10.06	0	0.24402	1002
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce12	1632906	381708	10.06	1037403	368559	5.63	13149	6.35696	203
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce4	1632906	381708	10.06	1037498	368559	5.63	13149	0.87856	1002
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce5	1632906	381708	10.06	1063796	381708	5.54	0	4.60436	1002
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce6	1632906	381708	10.06	1442767	368559	9.36	13149	3.27774	1002
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce8	1632906	381708	10.06	1037403	368559	5.63	13149	4.56933	1002
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce7	1632906	381708	10.06	1050552	368559	5.63	0	5.82734	1002
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce9	1632906	381708	10.06	1037403	368559	5.63	13149	4.49789	1002
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce10	1632906	381708	10.06	1037403	368559	5.63	13149	4.74900	1002
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce11	1632906	381708	10.06	1037403	368559	5.63	13149	4.42952	1002
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce13	1632906	381708	10.06	1037403	368559	5.63	13149	3.52046	1002
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce1	29194	7729	9.98	29194	7729	9.98	0	0.00686	1
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce2	29194	7729	9.98	28992	7728	9.90	1	0.00698	1
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce14	1632906	381708	10.06	1037403	368559	5.63	13149	3.96675	1002
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce12	1632906	381708	10.06	1037403	368559	5.63	13149	6.29557	1002
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce3	29194	7729	9.98	29194	7729	9.98	0	0.00760	1
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce15	1632906	381708	10.06	1037498	368559	5.63	13149	2.63747	1002
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce4	29194	7729	9.98	16509	7690	4.60	18	0.02992	1
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce6	29194	7729	9.98	29194	7729	9.98	0	0.45246	1
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce5	29194	7729	9.98	16542	7705	4.60	0	1.92707	1
