graph	algo	n	m	e	rn	rm	re	offset	time	seed
ABACUS_shell_hd.mtx.hgr.random100	reduce1	23412	23412	9.33	23412	23412	9.33	0	0.01369	1
ABACUS_shell_hd.mtx.hgr.random100	reduce2	23412	23412	9.33	23412	23412	9.33	0	0.00940	1
ABACUS_shell_hd.mtx.hgr.random100	reduce3	23412	23412	9.33	23412	22006	9.16	0	0.01175	1
ABACUS_shell_hd.mtx.hgr.random100	reduce4	23412	23412	9.33	22006	23408	8.54	0	0.01441	1
ABACUS_shell_hd.mtx.hgr.random100	reduce5	23412	23412	9.33	10690	23086	4.17	1	0.04613	1
ABACUS_shell_hd.mtx.hgr.random100	reduce6	23412	23412	9.33	23412	23412	9.33	0	0.03214	1
ABACUS_shell_hd.mtx.hgr.random100	reduce7	23412	23412	9.33	9558	16253	4.86	0	0.23659	1
ABACUS_shell_hd.mtx.hgr.random100	reduce8	23412	23412	9.33	8717	8776	6.65	751	0.25165	1
ABACUS_shell_hd.mtx.hgr.random100	reduce9	23412	23412	9.33	8717	8776	6.65	751	0.24879	1
ABACUS_shell_hd.mtx.hgr.random100	reduce10	23412	23412	9.33	8717	8776	6.65	751	0.25113	1
ABACUS_shell_hd.mtx.hgr.random100	reduce11	23412	23412	9.33	8717	16251	4.81	751	0.27103	1
ABACUS_shell_hd.mtx.hgr.random100	reduce12	23412	23412	9.33	8717	8776	6.65	751	0.26859	1
ABACUS_shell_hd.mtx.hgr.random100	reduce13	23412	23412	9.33	8717	8776	6.65	751	0.24090	1
ABACUS_shell_hd.mtx.hgr.random100	reduce14	23412	23412	9.33	8717	8776	6.65	751	0.24371	1
ABACUS_shell_hd.mtx.hgr.random100	reduce15	23412	23412	9.33	8976	9006	6.66	688	0.03908	1
ABACUS_shell_hd.mtx.hgr.random100	reduce1	23412	23412	9.33	23412	23412	9.33	0	0.00936	21
ABACUS_shell_hd.mtx.hgr.random100	reduce2	23412	23412	9.33	23412	23412	9.33	0	0.00898	21
ABACUS_shell_hd.mtx.hgr.random100	reduce3	23412	23412	9.33	23412	22006	9.16	0	0.00989	21
ABACUS_shell_hd.mtx.hgr.random100	reduce4	23412	23412	9.33	22006	23408	8.54	0	0.01194	21
ABACUS_shell_hd.mtx.hgr.random100	reduce5	23412	23412	9.33	10690	23086	4.17	1	0.04657	21
ABACUS_shell_hd.mtx.hgr.random100	reduce6	23412	23412	9.33	23412	23412	9.33	0	0.03320	21
ABACUS_shell_hd.mtx.hgr.random100	reduce7	23412	23412	9.33	9558	16253	4.86	0	0.23354	21
ABACUS_shell_hd.mtx.hgr.random100	reduce8	23412	23412	9.33	8717	8776	6.65	751	0.25478	21
ABACUS_shell_hd.mtx.hgr.random100	reduce9	23412	23412	9.33	8717	8776	6.65	751	0.24894	21
ABACUS_shell_hd.mtx.hgr.random100	reduce10	23412	23412	9.33	8717	8776	6.65	751	0.25828	21
ABACUS_shell_hd.mtx.hgr.random100	reduce11	23412	23412	9.33	8717	16251	4.81	751	0.26821	21
ABACUS_shell_hd.mtx.hgr.random100	reduce12	23412	23412	9.33	8717	8776	6.65	751	0.26553	21
ABACUS_shell_hd.mtx.hgr.random100	reduce13	23412	23412	9.33	8717	8776	6.65	751	0.23973	21
ABACUS_shell_hd.mtx.hgr.random100	reduce14	23412	23412	9.33	8717	8776	6.65	751	0.24502	21
ABACUS_shell_hd.mtx.hgr.random100	reduce15	23412	23412	9.33	8976	9006	6.66	688	0.03950	21
ABACUS_shell_hd.mtx.hgr.random100	reduce1	23412	23412	9.33	23412	23412	9.33	0	0.00922	203
ABACUS_shell_hd.mtx.hgr.random100	reduce2	23412	23412	9.33	23412	23412	9.33	0	0.00926	203
ABACUS_shell_hd.mtx.hgr.random100	reduce3	23412	23412	9.33	23412	22006	9.16	0	0.00985	203
ABACUS_shell_hd.mtx.hgr.random100	reduce4	23412	23412	9.33	22006	23408	8.54	0	0.01348	203
ABACUS_shell_hd.mtx.hgr.random100	reduce5	23412	23412	9.33	10690	23086	4.17	1	0.04680	203
ABACUS_shell_hd.mtx.hgr.random100	reduce6	23412	23412	9.33	23412	23412	9.33	0	0.03365	203
ABACUS_shell_hd.mtx.hgr.random100	reduce7	23412	23412	9.33	9558	16253	4.86	0	0.23592	203
ABACUS_shell_hd.mtx.hgr.random100	reduce8	23412	23412	9.33	8717	8776	6.65	751	0.25111	203
ABACUS_shell_hd.mtx.hgr.random100	reduce9	23412	23412	9.33	8717	8776	6.65	751	0.25005	203
ABACUS_shell_hd.mtx.hgr.random100	reduce10	23412	23412	9.33	8717	8776	6.65	751	0.25448	203
ABACUS_shell_hd.mtx.hgr.random100	reduce11	23412	23412	9.33	8717	16251	4.81	751	0.27398	203
ABACUS_shell_hd.mtx.hgr.random100	reduce12	23412	23412	9.33	8717	8776	6.65	751	0.26799	203
ABACUS_shell_hd.mtx.hgr.random100	reduce13	23412	23412	9.33	8717	8776	6.65	751	0.23975	203
ABACUS_shell_hd.mtx.hgr.random100	reduce14	23412	23412	9.33	8717	8776	6.65	751	0.24494	203
ABACUS_shell_hd.mtx.hgr.random100	reduce15	23412	23412	9.33	8976	9006	6.66	688	0.04038	203
ABACUS_shell_hd.mtx.hgr.random100	reduce1	23412	23412	9.33	23412	23412	9.33	0	0.00764	1002
ABACUS_shell_hd.mtx.hgr.random100	reduce2	23412	23412	9.33	23412	23412	9.33	0	0.00742	1002
ABACUS_shell_hd.mtx.hgr.random100	reduce3	23412	23412	9.33	23412	22006	9.16	0	0.01014	1002
ABACUS_shell_hd.mtx.hgr.random100	reduce4	23412	23412	9.33	22006	23408	8.54	0	0.01430	1002
ABACUS_shell_hd.mtx.hgr.random100	reduce5	23412	23412	9.33	10690	23086	4.17	1	0.04551	1002
ABACUS_shell_hd.mtx.hgr.random100	reduce6	23412	23412	9.33	23412	23412	9.33	0	0.03270	1002
ABACUS_shell_hd.mtx.hgr.random100	reduce7	23412	23412	9.33	9558	16253	4.86	0	0.23565	1002
ABACUS_shell_hd.mtx.hgr.random100	reduce8	23412	23412	9.33	8717	8776	6.65	751	0.25098	1002
ABACUS_shell_hd.mtx.hgr.random100	reduce9	23412	23412	9.33	8717	8776	6.65	751	0.25460	1002
ABACUS_shell_hd.mtx.hgr.random100	reduce10	23412	23412	9.33	8717	8776	6.65	751	0.25440	1002
ABACUS_shell_hd.mtx.hgr.random100	reduce11	23412	23412	9.33	8717	16251	4.81	751	0.27113	1002
ABACUS_shell_hd.mtx.hgr.random100	reduce12	23412	23412	9.33	8717	8776	6.65	751	0.26240	1002
ABACUS_shell_hd.mtx.hgr.random100	reduce13	23412	23412	9.33	8717	8776	6.65	751	0.24005	1002
ABACUS_shell_hd.mtx.hgr.random100	reduce14	23412	23412	9.33	8717	8776	6.65	751	0.24413	1002
ABACUS_shell_hd.mtx.hgr.random100	reduce15	23412	23412	9.33	8976	9006	6.66	688	0.03826	1002
as-22july06.mtx.hgr.random100	reduce1	22963	22963	4.22	22963	15123	5.89	0	0.00928	1
as-22july06.mtx.hgr.random100	reduce2	22963	22963	4.22	32	20	2.50	2040	0.00878	1
as-22july06.mtx.hgr.random100	reduce3	22963	22963	4.22	22963	5234	12.71	0	0.00968	1
as-22july06.mtx.hgr.random100	reduce4	22963	22963	4.22	25	0	0.00	2032	0.08121	1
as-22july06.mtx.hgr.random100	reduce6	22963	22963	4.22	5349	360	25.22	1867	1.27827	1
as-22july06.mtx.hgr.random100	reduce5	22963	22963	4.22	1386	3606	2.41	897	2.39679	1
as-22july06.mtx.hgr.random100	reduce8	22963	22963	4.22	0	0	0.00	2057	0.02025	1
as-22july06.mtx.hgr.random100	reduce9	22963	22963	4.22	0	0	0.00	2057	0.01952	1
as-22july06.mtx.hgr.random100	reduce10	22963	22963	4.22	0	0	0.00	2057	0.12709	1
as-22july06.mtx.hgr.random100	reduce11	22963	22963	4.22	0	0	0.00	2057	0.01956	1
as-22july06.mtx.hgr.random100	reduce12	22963	22963	4.22	0	0	0.00	2057	0.01961	1
as-22july06.mtx.hgr.random100	reduce13	22963	22963	4.22	0	0	0.00	2057	0.01960	1
as-22july06.mtx.hgr.random100	reduce14	22963	22963	4.22	0	0	0.00	2057	0.01846	1
as-22july06.mtx.hgr.random100	reduce7	22963	22963	4.22	2057	0	0.00	0	9.04056	1
as-22july06.mtx.hgr.random100	reduce15	22963	22963	4.22	0	0	0.00	2057	0.01816	1
as-22july06.mtx.hgr.random100	reduce1	22963	22963	4.22	22963	15123	5.89	0	0.00507	21
as-22july06.mtx.hgr.random100	reduce2	22963	22963	4.22	32	20	2.50	2040	0.01465	21
as-22july06.mtx.hgr.random100	reduce3	22963	22963	4.22	22963	5234	12.71	0	0.00954	21
as-22july06.mtx.hgr.random100	reduce4	22963	22963	4.22	25	0	0.00	2032	0.07666	21
as-22july06.mtx.hgr.random100	reduce6	22963	22963	4.22	5349	360	25.22	1867	1.29206	21
as-22july06.mtx.hgr.random100	reduce5	22963	22963	4.22	1386	3606	2.41	897	2.45883	21
as-22july06.mtx.hgr.random100	reduce8	22963	22963	4.22	0	0	0.00	2057	0.02028	21
as-22july06.mtx.hgr.random100	reduce9	22963	22963	4.22	0	0	0.00	2057	0.01908	21
as-22july06.mtx.hgr.random100	reduce10	22963	22963	4.22	0	0	0.00	2057	0.12437	21
as-22july06.mtx.hgr.random100	reduce11	22963	22963	4.22	0	0	0.00	2057	0.01935	21
as-22july06.mtx.hgr.random100	reduce12	22963	22963	4.22	0	0	0.00	2057	0.01932	21
as-22july06.mtx.hgr.random100	reduce13	22963	22963	4.22	0	0	0.00	2057	0.01940	21
as-22july06.mtx.hgr.random100	reduce14	22963	22963	4.22	0	0	0.00	2057	0.01802	21
as-22july06.mtx.hgr.random100	reduce7	22963	22963	4.22	2057	0	0.00	0	8.90393	21
as-22july06.mtx.hgr.random100	reduce15	22963	22963	4.22	0	0	0.00	2057	0.01778	21
as-22july06.mtx.hgr.random100	reduce1	22963	22963	4.22	22963	15123	5.89	0	0.00775	203
as-22july06.mtx.hgr.random100	reduce2	22963	22963	4.22	32	20	2.50	2040	0.01478	203
as-22july06.mtx.hgr.random100	reduce3	22963	22963	4.22	22963	5234	12.71	0	0.01299	203
as-22july06.mtx.hgr.random100	reduce4	22963	22963	4.22	25	0	0.00	2032	0.08205	203
as-22july06.mtx.hgr.random100	reduce6	22963	22963	4.22	5349	360	25.22	1867	1.28507	203
as-22july06.mtx.hgr.random100	reduce5	22963	22963	4.22	1386	3606	2.41	897	2.43271	203
as-22july06.mtx.hgr.random100	reduce8	22963	22963	4.22	0	0	0.00	2057	0.02054	203
as-22july06.mtx.hgr.random100	reduce9	22963	22963	4.22	0	0	0.00	2057	0.01908	203
as-22july06.mtx.hgr.random100	reduce10	22963	22963	4.22	0	0	0.00	2057	0.13031	203
as-22july06.mtx.hgr.random100	reduce11	22963	22963	4.22	0	0	0.00	2057	0.01958	203
as-22july06.mtx.hgr.random100	reduce12	22963	22963	4.22	0	0	0.00	2057	0.01954	203
as-22july06.mtx.hgr.random100	reduce13	22963	22963	4.22	0	0	0.00	2057	0.01976	203
as-22july06.mtx.hgr.random100	reduce14	22963	22963	4.22	0	0	0.00	2057	0.01823	203
as-22july06.mtx.hgr.random100	reduce7	22963	22963	4.22	2057	0	0.00	0	8.99340	203
as-22july06.mtx.hgr.random100	reduce15	22963	22963	4.22	0	0	0.00	2057	0.01849	203
as-22july06.mtx.hgr.random100	reduce1	22963	22963	4.22	22963	15123	5.89	0	0.00932	1002
as-22july06.mtx.hgr.random100	reduce2	22963	22963	4.22	32	20	2.50	2040	0.00875	1002
as-22july06.mtx.hgr.random100	reduce3	22963	22963	4.22	22963	5234	12.71	0	0.01488	1002
as-22july06.mtx.hgr.random100	reduce4	22963	22963	4.22	25	0	0.00	2032	0.08231	1002
as-22july06.mtx.hgr.random100	reduce6	22963	22963	4.22	5349	360	25.22	1867	1.28488	1002
as-22july06.mtx.hgr.random100	reduce5	22963	22963	4.22	1386	3606	2.41	897	2.39462	1002
as-22july06.mtx.hgr.random100	reduce8	22963	22963	4.22	0	0	0.00	2057	0.02030	1002
as-22july06.mtx.hgr.random100	reduce9	22963	22963	4.22	0	0	0.00	2057	0.01391	1002
as-22july06.mtx.hgr.random100	reduce10	22963	22963	4.22	0	0	0.00	2057	0.13273	1002
as-22july06.mtx.hgr.random100	reduce11	22963	22963	4.22	0	0	0.00	2057	0.02109	1002
as-22july06.mtx.hgr.random100	reduce12	22963	22963	4.22	0	0	0.00	2057	0.01981	1002
as-22july06.mtx.hgr.random100	reduce13	22963	22963	4.22	0	0	0.00	2057	0.02017	1002
as-22july06.mtx.hgr.random100	reduce14	22963	22963	4.22	0	0	0.00	2057	0.01802	1002
as-22july06.mtx.hgr.random100	reduce7	22963	22963	4.22	2057	0	0.00	0	9.00610	1002
as-22july06.mtx.hgr.random100	reduce15	22963	22963	4.22	0	0	0.00	2057	0.01776	1002
as-caida.mtx.hgr.random100	reduce1	31379	26475	4.03	31379	16538	5.85	0	0.01171	1
as-caida.mtx.hgr.random100	reduce2	31379	26475	4.03	26	14	2.14	7321	0.01132	1
as-caida.mtx.hgr.random100	reduce3	31379	26475	4.03	31379	5833	12.48	0	0.01725	1
as-caida.mtx.hgr.random100	reduce4	31379	26475	4.03	37	8	2.00	7306	0.09855	1
as-caida.mtx.hgr.random100	reduce6	31379	26475	4.03	5702	353	26.82	7143	0.98282	1
as-caida.mtx.hgr.random100	reduce5	31379	26475	4.03	1667	3820	2.39	5951	2.14365	1
as-caida.mtx.hgr.random100	reduce8	31379	26475	4.03	0	0	0.00	7339	0.02397	1
as-caida.mtx.hgr.random100	reduce9	31379	26475	4.03	0	0	0.00	7339	0.02312	1
as-caida.mtx.hgr.random100	reduce10	31379	26475	4.03	0	0	0.00	7339	0.15922	1
as-caida.mtx.hgr.random100	reduce11	31379	26475	4.03	0	0	0.00	7339	0.02295	1
as-caida.mtx.hgr.random100	reduce12	31379	26475	4.03	0	0	0.00	7339	0.01892	1
as-caida.mtx.hgr.random100	reduce13	31379	26475	4.03	0	0	0.00	7339	0.02355	1
as-caida.mtx.hgr.random100	reduce14	31379	26475	4.03	0	0	0.00	7339	0.01713	1
as-caida.mtx.hgr.random100	reduce15	31379	26475	4.03	0	0	0.00	7339	0.02091	1
as-caida.mtx.hgr.random100	reduce1	31379	26475	4.03	31379	16538	5.85	0	0.01068	21
as-caida.mtx.hgr.random100	reduce2	31379	26475	4.03	26	14	2.14	7321	0.01565	21
as-caida.mtx.hgr.random100	reduce3	31379	26475	4.03	31379	5833	12.48	0	0.01711	21
as-caida.mtx.hgr.random100	reduce7	31379	26475	4.03	7339	0	0.00	0	12.71153	1
as-caida.mtx.hgr.random100	reduce4	31379	26475	4.03	37	8	2.00	7306	0.09875	21
as-caida.mtx.hgr.random100	reduce6	31379	26475	4.03	5702	353	26.82	7143	0.97883	21
as-caida.mtx.hgr.random100	reduce5	31379	26475	4.03	1667	3820	2.39	5951	2.14215	21
as-caida.mtx.hgr.random100	reduce8	31379	26475	4.03	0	0	0.00	7339	0.02385	21
as-caida.mtx.hgr.random100	reduce9	31379	26475	4.03	0	0	0.00	7339	0.01873	21
as-caida.mtx.hgr.random100	reduce10	31379	26475	4.03	0	0	0.00	7339	0.16548	21
as-caida.mtx.hgr.random100	reduce11	31379	26475	4.03	0	0	0.00	7339	0.02316	21
as-caida.mtx.hgr.random100	reduce12	31379	26475	4.03	0	0	0.00	7339	0.02331	21
as-caida.mtx.hgr.random100	reduce13	31379	26475	4.03	0	0	0.00	7339	0.02393	21
as-caida.mtx.hgr.random100	reduce14	31379	26475	4.03	0	0	0.00	7339	0.02135	21
as-caida.mtx.hgr.random100	reduce15	31379	26475	4.03	0	0	0.00	7339	0.02116	21
as-caida.mtx.hgr.random100	reduce1	31379	26475	4.03	31379	16538	5.85	0	0.00653	203
as-caida.mtx.hgr.random100	reduce2	31379	26475	4.03	26	14	2.14	7321	0.01576	203
as-caida.mtx.hgr.random100	reduce3	31379	26475	4.03	31379	5833	12.48	0	0.01731	203
as-caida.mtx.hgr.random100	reduce7	31379	26475	4.03	7339	0	0.00	0	12.71140	21
as-caida.mtx.hgr.random100	reduce4	31379	26475	4.03	37	8	2.00	7306	0.09384	203
as-caida.mtx.hgr.random100	reduce6	31379	26475	4.03	5702	353	26.82	7143	0.99330	203
as-caida.mtx.hgr.random100	reduce5	31379	26475	4.03	1667	3820	2.39	5951	2.13192	203
as-caida.mtx.hgr.random100	reduce8	31379	26475	4.03	0	0	0.00	7339	0.02371	203
as-caida.mtx.hgr.random100	reduce9	31379	26475	4.03	0	0	0.00	7339	0.02281	203
as-caida.mtx.hgr.random100	reduce10	31379	26475	4.03	0	0	0.00	7339	0.16194	203
as-caida.mtx.hgr.random100	reduce11	31379	26475	4.03	0	0	0.00	7339	0.02290	203
as-caida.mtx.hgr.random100	reduce12	31379	26475	4.03	0	0	0.00	7339	0.02324	203
as-caida.mtx.hgr.random100	reduce13	31379	26475	4.03	0	0	0.00	7339	0.02341	203
as-caida.mtx.hgr.random100	reduce14	31379	26475	4.03	0	0	0.00	7339	0.01711	203
as-caida.mtx.hgr.random100	reduce15	31379	26475	4.03	0	0	0.00	7339	0.02348	203
as-caida.mtx.hgr.random100	reduce1	31379	26475	4.03	31379	16538	5.85	0	0.01048	1002
as-caida.mtx.hgr.random100	reduce2	31379	26475	4.03	26	14	2.14	7321	0.01547	1002
as-caida.mtx.hgr.random100	reduce3	31379	26475	4.03	31379	5833	12.48	0	0.01714	1002
as-caida.mtx.hgr.random100	reduce7	31379	26475	4.03	7339	0	0.00	0	12.65153	203
as-caida.mtx.hgr.random100	reduce4	31379	26475	4.03	37	8	2.00	7306	0.09473	1002
as-caida.mtx.hgr.random100	reduce6	31379	26475	4.03	5702	353	26.82	7143	0.99699	1002
as-caida.mtx.hgr.random100	reduce5	31379	26475	4.03	1667	3820	2.39	5951	2.12756	1002
as-caida.mtx.hgr.random100	reduce8	31379	26475	4.03	0	0	0.00	7339	0.02536	1002
as-caida.mtx.hgr.random100	reduce9	31379	26475	4.03	0	0	0.00	7339	0.02324	1002
as-caida.mtx.hgr.random100	reduce10	31379	26475	4.03	0	0	0.00	7339	0.15972	1002
as-caida.mtx.hgr.random100	reduce11	31379	26475	4.03	0	0	0.00	7339	0.02337	1002
as-caida.mtx.hgr.random100	reduce12	31379	26475	4.03	0	0	0.00	7339	0.02338	1002
as-caida.mtx.hgr.random100	reduce13	31379	26475	4.03	0	0	0.00	7339	0.02322	1002
as-caida.mtx.hgr.random100	reduce14	31379	26475	4.03	0	0	0.00	7339	0.02273	1002
as-caida.mtx.hgr.random100	reduce15	31379	26475	4.03	0	0	0.00	7339	0.02137	1002
BenElechi1.mtx.hgr.random100	reduce1	245874	245874	53.48	245874	245868	53.49	0	0.25272	1
BenElechi1.mtx.hgr.random100	reduce2	245874	245874	53.48	245868	245868	53.49	6	0.25403	1
as-caida.mtx.hgr.random100	reduce7	31379	26475	4.03	7339	0	0.00	0	12.61526	1002
BenElechi1.mtx.hgr.random100	reduce3	245874	245874	53.48	245874	40109	53.89	0	0.23469	1
BenElechi1.mtx.hgr.random100	reduce4	245874	245874	53.48	40114	245844	8.73	0	2.12354	1
BenElechi1.mtx.hgr.random100	reduce5	245874	245874	53.48	29394	244764	6.41	6	3.89684	1
BenElechi1.mtx.hgr.random100	reduce6	245874	245874	53.48	245868	245868	53.49	6	2.52033	1
BenElechi1.mtx.hgr.random100	reduce8	245874	245874	53.48	24225	24311	7.90	1199	0.93576	1
BenElechi1.mtx.hgr.random100	reduce9	245874	245874	53.48	24225	24311	7.90	1199	0.92302	1
BenElechi1.mtx.hgr.random100	reduce7	245874	245874	53.48	25771	182900	7.19	0	4.10668	1
BenElechi1.mtx.hgr.random100	reduce10	245874	245874	53.48	24225	24311	7.90	1199	0.98270	1
BenElechi1.mtx.hgr.random100	reduce13	245874	245874	53.48	24197	24282	7.91	1214	0.87080	1
BenElechi1.mtx.hgr.random100	reduce12	245874	245874	53.48	24225	24311	7.90	1199	1.84053	1
BenElechi1.mtx.hgr.random100	reduce11	245874	245874	53.48	24225	182924	7.08	1199	3.58793	1
BenElechi1.mtx.hgr.random100	reduce14	245874	245874	53.48	24225	24311	7.90	1199	0.86557	1
BenElechi1.mtx.hgr.random100	reduce15	245874	245874	53.48	24533	24605	7.91	1176	0.76813	1
BenElechi1.mtx.hgr.random100	reduce1	245874	245874	53.48	245874	245868	53.49	0	0.25502	21
BenElechi1.mtx.hgr.random100	reduce2	245874	245874	53.48	245868	245868	53.49	6	0.25045	21
BenElechi1.mtx.hgr.random100	reduce3	245874	245874	53.48	245874	40109	53.89	0	0.23320	21
BenElechi1.mtx.hgr.random100	reduce4	245874	245874	53.48	40114	245844	8.73	0	2.13024	21
BenElechi1.mtx.hgr.random100	reduce6	245874	245874	53.48	245868	245868	53.49	6	2.51927	21
BenElechi1.mtx.hgr.random100	reduce8	245874	245874	53.48	24225	24311	7.90	1199	0.92611	21
BenElechi1.mtx.hgr.random100	reduce5	245874	245874	53.48	29394	244764	6.41	6	3.91657	21
BenElechi1.mtx.hgr.random100	reduce9	245874	245874	53.48	24225	24311	7.90	1199	0.92460	21
BenElechi1.mtx.hgr.random100	reduce10	245874	245874	53.48	24225	24311	7.90	1199	0.98089	21
BenElechi1.mtx.hgr.random100	reduce7	245874	245874	53.48	25771	182900	7.19	0	4.11901	21
BenElechi1.mtx.hgr.random100	reduce12	245874	245874	53.48	24225	24311	7.90	1199	1.82390	21
BenElechi1.mtx.hgr.random100	reduce13	245874	245874	53.48	24197	24282	7.91	1214	0.86105	21
BenElechi1.mtx.hgr.random100	reduce11	245874	245874	53.48	24225	182924	7.08	1199	3.58745	21
BenElechi1.mtx.hgr.random100	reduce14	245874	245874	53.48	24225	24311	7.90	1199	0.85713	21
BenElechi1.mtx.hgr.random100	reduce15	245874	245874	53.48	24533	24605	7.91	1176	0.80081	21
BenElechi1.mtx.hgr.random100	reduce1	245874	245874	53.48	245874	245868	53.49	0	0.25140	203
BenElechi1.mtx.hgr.random100	reduce2	245874	245874	53.48	245868	245868	53.49	6	0.25348	203
BenElechi1.mtx.hgr.random100	reduce3	245874	245874	53.48	245874	40109	53.89	0	0.23156	203
BenElechi1.mtx.hgr.random100	reduce4	245874	245874	53.48	40114	245844	8.73	0	2.13010	203
BenElechi1.mtx.hgr.random100	reduce5	245874	245874	53.48	29394	244764	6.41	6	3.89466	203
BenElechi1.mtx.hgr.random100	reduce6	245874	245874	53.48	245868	245868	53.49	6	2.56086	203
BenElechi1.mtx.hgr.random100	reduce8	245874	245874	53.48	24225	24311	7.90	1199	0.93281	203
BenElechi1.mtx.hgr.random100	reduce9	245874	245874	53.48	24225	24311	7.90	1199	0.93083	203
BenElechi1.mtx.hgr.random100	reduce7	245874	245874	53.48	25771	182900	7.19	0	4.10947	203
BenElechi1.mtx.hgr.random100	reduce10	245874	245874	53.48	24225	24311	7.90	1199	0.99034	203
BenElechi1.mtx.hgr.random100	reduce12	245874	245874	53.48	24225	24311	7.90	1199	1.84149	203
BenElechi1.mtx.hgr.random100	reduce13	245874	245874	53.48	24197	24282	7.91	1214	0.86061	203
BenElechi1.mtx.hgr.random100	reduce11	245874	245874	53.48	24225	182924	7.08	1199	3.57037	203
BenElechi1.mtx.hgr.random100	reduce14	245874	245874	53.48	24225	24311	7.90	1199	0.85330	203
BenElechi1.mtx.hgr.random100	reduce15	245874	245874	53.48	24533	24605	7.91	1176	0.80116	203
BenElechi1.mtx.hgr.random100	reduce1	245874	245874	53.48	245874	245868	53.49	0	0.25538	1002
BenElechi1.mtx.hgr.random100	reduce2	245874	245874	53.48	245868	245868	53.49	6	0.25005	1002
BenElechi1.mtx.hgr.random100	reduce3	245874	245874	53.48	245874	40109	53.89	0	0.23265	1002
BenElechi1.mtx.hgr.random100	reduce4	245874	245874	53.48	40114	245844	8.73	0	2.12643	1002
BenElechi1.mtx.hgr.random100	reduce6	245874	245874	53.48	245868	245868	53.49	6	2.56969	1002
BenElechi1.mtx.hgr.random100	reduce8	245874	245874	53.48	24225	24311	7.90	1199	0.92952	1002
BenElechi1.mtx.hgr.random100	reduce5	245874	245874	53.48	29394	244764	6.41	6	3.91224	1002
BenElechi1.mtx.hgr.random100	reduce9	245874	245874	53.48	24225	24311	7.90	1199	0.89755	1002
BenElechi1.mtx.hgr.random100	reduce10	245874	245874	53.48	24225	24311	7.90	1199	0.97698	1002
BenElechi1.mtx.hgr.random100	reduce7	245874	245874	53.48	25771	182900	7.19	0	4.11410	1002
BenElechi1.mtx.hgr.random100	reduce12	245874	245874	53.48	24225	24311	7.90	1199	1.84530	1002
BenElechi1.mtx.hgr.random100	reduce13	245874	245874	53.48	24197	24282	7.91	1214	0.86067	1002
BenElechi1.mtx.hgr.random100	reduce11	245874	245874	53.48	24225	182924	7.08	1199	3.60439	1002
BenElechi1.mtx.hgr.random100	reduce14	245874	245874	53.48	24225	24311	7.90	1199	0.86549	1002
bips07_1998.mtx.hgr.random100	reduce1	15066	15066	4.13	15066	13549	4.48	0	0.00476	1
BenElechi1.mtx.hgr.random100	reduce15	245874	245874	53.48	24533	24605	7.91	1176	0.77482	1002
bips07_1998.mtx.hgr.random100	reduce2	15066	15066	4.13	12452	11977	4.71	1690	0.00257	1
bips07_1998.mtx.hgr.random100	reduce3	15066	15066	4.13	15066	10380	4.55	0	0.00761	1
bips07_1998.mtx.hgr.random100	reduce4	15066	15066	4.13	3994	3585	3.47	3346	0.00624	1
bips07_1998.mtx.hgr.random100	reduce5	15066	15066	4.13	7296	8023	2.25	1434	0.01826	1
bips07_1998.mtx.hgr.random100	reduce6	15066	15066	4.13	12238	11822	4.66	1750	0.01019	1
bips07_1998.mtx.hgr.random100	reduce7	15066	15066	4.13	5415	122	2.00	0	0.02007	1
bips07_1998.mtx.hgr.random100	reduce8	15066	15066	4.13	62	62	2.00	5328	0.00987	1
bips07_1998.mtx.hgr.random100	reduce9	15066	15066	4.13	62	62	2.00	5328	0.00945	1
bips07_1998.mtx.hgr.random100	reduce10	15066	15066	4.13	62	62	2.00	5328	0.02025	1
bips07_1998.mtx.hgr.random100	reduce11	15066	15066	4.13	62	72	2.00	5328	0.01815	1
bips07_1998.mtx.hgr.random100	reduce12	15066	15066	4.13	62	62	2.00	5328	0.01698	1
bips07_1998.mtx.hgr.random100	reduce13	15066	15066	4.13	68	68	2.00	5325	0.01784	1
bips07_1998.mtx.hgr.random100	reduce14	15066	15066	4.13	62	62	2.00	5328	0.00873	1
bips07_1998.mtx.hgr.random100	reduce15	15066	15066	4.13	459	448	2.83	5197	0.01672	1
bips07_1998.mtx.hgr.random100	reduce1	15066	15066	4.13	15066	13549	4.48	0	0.00261	21
bips07_1998.mtx.hgr.random100	reduce2	15066	15066	4.13	12452	11977	4.71	1690	0.00473	21
bips07_1998.mtx.hgr.random100	reduce3	15066	15066	4.13	15066	10380	4.55	0	0.00710	21
bips07_1998.mtx.hgr.random100	reduce4	15066	15066	4.13	3994	3585	3.47	3346	0.01155	21
bips07_1998.mtx.hgr.random100	reduce5	15066	15066	4.13	7296	8023	2.25	1434	0.01824	21
bips07_1998.mtx.hgr.random100	reduce6	15066	15066	4.13	12238	11822	4.66	1750	0.01020	21
bips07_1998.mtx.hgr.random100	reduce7	15066	15066	4.13	5415	122	2.00	0	0.01991	21
bips07_1998.mtx.hgr.random100	reduce8	15066	15066	4.13	62	62	2.00	5328	0.01548	21
bips07_1998.mtx.hgr.random100	reduce9	15066	15066	4.13	62	62	2.00	5328	0.00952	21
bips07_1998.mtx.hgr.random100	reduce10	15066	15066	4.13	62	62	2.00	5328	0.01186	21
bips07_1998.mtx.hgr.random100	reduce11	15066	15066	4.13	62	72	2.00	5328	0.01086	21
